Date,Close/Last,Volume,Open,High,Low
07/27/2026,$12.13,297547,$11.92,$13.08,$11.61
07/24/2026,$11.16,127881,$10.60,$11.20,$10.24
07/23/2026,$10.68,115645,$11.11,$11.11,$10.45
07/22/2026,$11.13,130000,$11.05,$11.49,$10.995
07/21/2026,$11.11,202124,$10.55,$11.9367,$10.55
07/20/2026,$10.87,205551,$11.27,$11.57,$10.535
07/17/2026,$11.62,286516,$11.81,$12.08,$10.98
07/16/2026,$12.08,201249,$13.03,$13.64,$11.89
07/15/2026,$13.03,170011,$13.37,$13.68,$12.91
07/14/2026,$13.72,282074,$12.72,$14.9899,$12.655
07/13/2026,$12.60,231509,$13.98,$14.20,$12.54
07/10/2026,$14.11,144724,$13.84,$14.6099,$13.53
07/09/2026,$14.24,228237,$15.03,$15.03,$13.60
07/08/2026,$15.165,122186,$14.61,$15.41,$14.61
07/07/2026,$15.37,229246,$15.68,$15.925,$14.3701
07/06/2026,$16.05,209179,$17.10,$17.10,$15.94
07/02/2026,$17.19,293551,$17.53,$18.77,$16.98
07/01/2026,$18.08,285257,$17.00,$18.59,$17.00
06/30/2026,$17.11,422704,$16.22,$17.53,$15.08
06/29/2026,$15.61,558452,$17.58,$17.79,$15.20
06/26/2026,$18.23,1104959,$17.77,$18.9999,$16.49
06/25/2026,$18.09,345161,$18.81,$20.00,$18.08
06/24/2026,$18.81,247410,$19.72,$20.72,$18.81
06/23/2026,$19.98,144869,$19.00,$20.14,$18.58
06/22/2026,$19.53,195656,$19.15,$20.00,$18.62
06/18/2026,$20.03,193574,$19.30,$20.30,$18.52
06/17/2026,$20.35,400104,$22.50,$23.79,$19.90
06/16/2026,$21.97,428086,$18.82,$22.09,$18.705
06/15/2026,$19.18,392764,$20.95,$21.13,$17.80
06/12/2026,$21.37,511221,$20.82,$24.70,$19.43
06/11/2026,$21.22,476078,$20.09,$22.45,$19.60
06/10/2026,$20.09,413041,$19.36,$21.40,$18.6382
06/09/2026,$19.18,2563056,$21.76,$23.09,$18.50
06/08/2026,$18.27,748086,$18.04,$20.62,$17.82
06/05/2026,$22.17,9366691,$16.31,$30.8999,$15.51
06/04/2026,$16.34,521224,$13.70,$17.78,$13.63
06/03/2026,$13.75,206064,$14.28,$15.48,$13.63
06/02/2026,$14.81,362868,$13.43,$16.81,$13.11
06/01/2026,$13.95,292854,$13.98,$14.3999,$13.22
05/29/2026,$14.84,233380,$15.63,$16.76,$14.58
05/28/2026,$15.78,257455,$15.00,$16.17,$14.81
05/27/2026,$15.54,372544,$18.25,$18.4299,$15.50
05/26/2026,$19.54,347526,$18.07,$20.10,$16.30
05/22/2026,$18.505,165232,$19.15,$19.58,$18.43
05/21/2026,$19.21,175293,$18.87,$19.99,$18.70
05/20/2026,$19.52,315133,$19.50,$19.75,$17.80
05/19/2026,$19.90,228512,$20.00,$20.83,$19.33
05/18/2026,$20.96,435894,$22.675,$22.675,$20.0575
05/15/2026,$22.34,180965,$22.93,$23.08,$21.00
05/14/2026,$23.16,159844,$24.03,$24.45,$23.1092
05/13/2026,$24.87,238004,$23.61,$24.87,$22.63
05/12/2026,$23.80,374776,$24.42,$26.84,$22.865
05/11/2026,$23.56,709576,$24.22,$25.26,$21.83
05/08/2026,$22.26,261676,$22.10,$23.5776,$21.61
05/07/2026,$22.11,231105,$23.11,$23.61,$22.04
05/06/2026,$23.62,472237,$21.87,$25.045,$21.49
05/05/2026,$22.62,402471,$23.26,$23.28,$21.2001
05/04/2026,$23.47,446228,$26.60,$26.62,$23.45
05/01/2026,$26.85,298887,$28.17,$28.8599,$26.715
04/30/2026,$28.125,360991,$28.28,$29.9999,$27.78
04/29/2026,$27.68,351780,$28.16,$28.23,$26.51
04/28/2026,$27.82,304094,$27.12,$29.787,$26.82
04/27/2026,$28.27,387190,$27.97,$28.46,$26.0301
04/24/2026,$30.02,397511,$30.04,$30.47,$28.202
04/23/2026,$31.30,572427,$32.49,$32.76,$30.1801
04/22/2026,$33.67,1677481,$34.20,$35.24,$32.75
04/21/2026,$32.69,815914,$34.69,$34.759,$30.58
04/20/2026,$34.87,386288,$35.73,$37.47,$34.32
04/17/2026,$38.01,942591,$37.32,$38.03,$34.175
04/16/2026,$39.20,3167120,$48.52,$49.39,$32.5801
04/15/2026,$56.95,1507126,$54.82,$57.87,$52.6616
04/14/2026,$52.70,505634,$54.07,$56.1385,$51.42
04/13/2026,$50.95,909775,$43.71,$54.09,$43.71
04/10/2026,$42.06,203581,$42.70,$44.255,$42.01
04/09/2026,$42.58,358491,$40.80,$44.44,$39.29
04/08/2026,$40.66,417265,$42.35,$46.76,$40.66
